step,loss,mean_token_accuracy,learning_rate
1,3.174,0.6166666746139526,0.0005
2,2.203,0.6452381014823914,0.000475
3,1.5817,0.688095211982727,0.00045000000000000004
4,1.2358,0.7476190328598022,0.000425
5,0.9644,0.8047618865966797,0.0004
6,0.7409,0.8404762148857117,0.000375
7,0.5471,0.9023809432983398,0.00035
8,0.3911,0.9285714030265808,0.00032500000000000004
9,0.266,0.961904764175415,0.0003
10,0.1731,0.9785714149475098,0.000275
11,0.1129,0.9833333492279053,0.00025
12,0.0767,0.988095223903656,0.00022500000000000002
13,0.0593,0.9904761910438538,0.0002
14,0.05,0.9928571581840515,0.000175
15,0.0403,0.9928571581840515,0.00015
16,0.0332,0.9952380657196045,0.000125
17,0.0283,0.9952380657196045,0.0001
18,0.0255,1.0,0.000075
19,0.0236,1.0,0.00005
20,0.0227,1.0,0.000025
